"LoanOriginalAmount","DebtToIncomeRatio","credit_and_prosper_grade","BankcardUtilization"
25000,0.1,"AA",0.59
4000,0.12,"E",0.76
4000,0.35,"E",0.05
20000,0.28,"C",0.43
10000,0.19,"C",0.98
4500,0.19,"C",0.89
4000,0.4,"E",0.86
4000,0.23,"HR",0.99
3500,0.08,"B",0.32
5000,0.13,"D",NA
3500,0.3,"E",0.29
2300,0.08,"AA",NA
7000,0.43,"C",0.55
4000,0.43,"HR",0.92
20000,0.13,"A",0.61
15000,0.56,"B",0.29
2000,0.05,"C",0
4000,0.2,"B",0.9
10000,0.22,"AA",0.03
4000,NA,"HR",0.22
2932,0.36,"E",0.7
10000,0.16,"A",0.56
15000,NA,"D",0.98
15000,0.35,"C",0.91
2000,NA,"D",0.64
10000,0.2,"B",0.74
4000,0.54,"HR",0.3
14000,NA,"C",0.79
2000,0.18,"C",0.94
3000,0.29,"HR",0.83
4000,0.05,"D",0
4000,0.45,"HR",0.93
3000,0.04,"HR",0
13400,0.16,"C",0.9
2000,0.27,"C",0.8
15000,0.33,"C",0.86
2000,0.1,"A",0.96
6000,0.17,"B",0.35
15000,0.48,"C",0.36
10000,0.32,"C",0.91
4000,0.31,"B",0.89
1000,0.13,"A",NA
12000,0.19,"AA",0
15000,0.31,"B",0.5
5000,NA,"E",0.98
14000,0.48,"A",0.14
2551,0.17,"HR",1.31
1000,0.03,"HR",NA
10000,0.26,"D",0.36
10000,0.37,"D",0.6
12500,NA,"A",0.51
8600,0.34,"B",0.89
5000,0.3,"A",0.33
6000,0.18,"D",0.92
4000,0.12,"E",0.99
3000,0.11,"C",0.27
4000,0.44,"C",0.31
3000,0.35,"E",0.07
2500,0.41,"E",0.94
5000,0.04,"A",0
9000,0.36,"D",0.87
2500,0.11,"B",0.29
20000,0.22,"C",0.24
3500,0.04,"D",0
22000,0.15,"B",0.44
4000,0.07,"A",NA
2200,0.09,"AA",0.01
10000,0.25,"AA",0.62
3333,0.29,"E",0.82
6500,0.06,"",0.12
7500,0.17,"D",0.68
10000,0.39,"D",0.76
15000,0.3,"D",0.91
15000,0.33,"C",0.71
15000,0.17,"B",0.89
5500,0.15,"B",0.52
4000,0.2,"HR",0.32
5500,0.05,"AA",0.14
3000,0.05,"C",0.42
12475,0.21,"B",0.97
4000,0.15,"B",0.76
3000,0.13,"AA",NA
12500,0.29,"AA",0.34
2000,0.1,"HR",0.83
9000,0.17,"AA",0.35
3500,0.44,"HR",0.74
15000,0.39,"C",0.6
4500,0.07,"C",0.16
9310,0.07,"A",0.76
10000,NA,"D",0.88
6500,0.29,"A",0.12
10000,0.28,"E",NA
15000,0.19,"AA",0.05
3600,NA,"AA",0.45
12000,0.23,"C",0.58
4000,0.06,"E",0.63
2900,0.33,"B",0.95
2200,0.08,"HR",NA
5500,0.13,"E",0.23
7500,0.35,"C",0.58
4000,0.09,"E",0.25
13500,0.18,"C",0.3
2000,NA,"A",0.1
1200,0.49,"HR",NA
6000,NA,"C",0.06
4000,NA,"HR",0.53
3500,0.27,"B",0.74
1000,0.58,"C",0.64
24800,0.06,"C",0
15000,0.3,"C",0.93
10000,0.41,"D",NA
15000,0.22,"D",0.97
2000,0.2,"E",NA
3800,0.32,"D",0.98
15000,0.29,"B",0.32
25000,0.04,"A",0.11
3000,0.09,"B",0.84
3000,0.12,"D",0.75
13000,0.33,"A",0.42
4000,0.27,"HR",0.27
20000,0.14,"B",0.36
10000,0.35,"C",0.52
20000,0.27,"A",0.65
10000,NA,"C",0.43
10000,0.12,"AA",0.45
7500,0.16573,"D",NA
7000,0.16,"C",0.97
15000,0.12,"B",0.88
4000,NA,"E",0.94
8000,0.23,"C",0.95
15000,0.36,"C",0.69
4000,0.26,"HR",1.04
1500,0.32,"AA",0.64
10000,0.13,"C",0.78
9999,0.18,"C",NA
4000,NA,"E",0.56
3001,0.08,"E",NA
10000,NA,"B",1
5500,0.21,"C",0.34
4000,0.13,"E",0.77
15000,0.35,"A",0.47
25000,0.15,"AA",0.36
7000,0.21,"A",0.53
30000,0.11,"A",0.34
5000,0.22,"C",0.69
1000,10.01,"D",0.61
15000,0.14,"C",0.65
9000,0.31,"C",0.78
4000,0.39,"C",0.82
8000,0.21,"A",0.71
12000,0.14,"AA",0.34
4000,0.1,"E",0.98
3500,0.37,"D",0.54
30000,0.18,"B",0.69
15000,0.35,"C",0.45
9000,0.14,"AA",0.06
4000,0.35,"C",0.92
15000,0.18,"C",0.75
2000,0.14,"A",0.44
2000,0.17,"D",0.35
1100,0.18,"E",0
7500,0.39,"E",0.9
20000,0.34,"B",0.52
4000,0.35,"E",0.61
10000,0.11,"A",0.01
15000,0.31,"C",0.86
1000,0.12,"E",NA
1500,0.37,"C",0.37
3001,0.22,"HR",NA
2000,0.1,"A",NA
17500,0.25,"B",NA
2100,0.09,"HR",NA
5000,0.2,"D",0.65
4000,0.31,"E",0.92
3000,NA,"D",0.92
3000,0.11,"C",0.3
11000,0.21,"A",0.75
7000,0.39,"D",0.77
1000,0.26,"C",0.83
6000,0.18,"E",0.12
6000,0.19,"A",0.48
2500,0.08,"E",0.98
7000,0.26,"A",0.04
2000,0.13,"C",0.44
4000,0.29,"HR",0.71
4000,0.2,"HR",0.86
7500,0.31,"E",0.3
2000,0.11,"D",0.49
2500,0.37,"HR",0.98
15000,0.28,"D",0.36
4000,0.25,"C",0.93
7500,0.51,"E",0.3
4600,0.23,"HR",0.78
9000,0.26,"B",0.55
1000,0.1,"E",NA
7500,0.27,"D",0.05
20000,0.19,"B",0.44
20000,0.22,"B",0.76
3000,0.2,"A",0.46
4000,0.23,"HR",0.86
7000,0.24,"D",0.85
20000,0.25,"B",0.66
4500,0.23,"A",0.34
7000,0.35,"C",0.96
5000,0.33,"C",0.94
5000,0.13,"D",0.3
10000,0.29,"D",0.99
10000,0.32,"E",0.53
4000,0.23,"D",0.34
15000,0.15,"B",0.25
15000,NA,"B",0.72
4000,0.21,"E",0.6
17000,0.73,"C",0.95
20000,0.23,"A",0.36
8000,0.52,"C",0.77
2000,0.11,"B",0.65
5025,0.42,"D",0.84
7500,0.31,"C",NA
10000,0.57,"D",0.76
4200,0.27,"D",0.38
4000,NA,"E",0.73
2500,0.1,"D",1.01
4000,NA,"D",0.31
2000,0.06,"D",0.84
1500,0.2,"E",0
4000,0.33,"HR",0.78
15000,NA,"A",0.15
5500,0.49,"D",0.47
15000,0.18,"A",0.44
1800,0.16,"D",NA
13000,0.18,"C",0.25
4000,0.13,"C",0.89
15000,NA,"B",0.94
25000,0.2,"A",0.63
3000,NA,"A",0.47
4000,0.28,"HR",0.97
15000,0.29,"B",0.25
10000,0.24,"AA",0.4
7500,0.13,"D",0.48
7300,0.39,"C",0.24
10000,0.15,"A",0.23
16500,0.14,"A",0.65
7500,0.35,"C",0.89
3600,0.1,"B",0.36
6500,0.1,"B",NA
4000,0.35,"E",0.36
11000,0.15,"B",0.54
4000,0.38,"HR",0
4000,0.11,"C",0.24
4000,NA,"B",0
2500,NA,"E",0
1000,0.10361,"HR",NA
8000,0.1,"C",0.95
12000,0.19,"C",0.76
2000,NA,"HR",0
2000,0.31,"HR",NA
2000,NA,"C",0.98
10000,0.15,"B",0.26
5000,0.54,"E",0.94
7000,0.13,"AA",0.08
2000,0.13,"HR",0.96
2000,0.55,"D",0.67
10000,0.45,"B",0.6
5000,0.23,"AA",0.38
5500,0.14,"AA",0.17
2000,0.1,"B",0.95
15000,0.25,"A",0.7
8500,0.2,"C",0.96
4000,0.14,"B",0
3500,0.08,"D",0.8
15000,NA,"B",0.46
15000,0.17,"C",0.89
2000,0.16,"D",0.96
2500,NA,"HR",0.99
10000,0.24,"B",0.56
2000,0.04,"E",NA
20000,0.24,"C",0.76
4500,0.11,"C",0.54
10000,0.3,"D",0.77
3000,0.14,"D",0.61
4500,0.26,"E",0.88
10000,0.37,"B",0.88
4000,0.1,"HR",0.11
4000,0.39,"HR",0.95
9000,0.24,"AA",0.25
3500,0.24,"E",NA
1545,0.49,"E",1.01
16000,1.65,"C",0.56
1000,0.34,"E",0.86
1000,0.07,"HR",NA
4000,0.18,"B",0.26
3800,NA,"D",0.9
3000,0.1,"D",0.73
25000,0.21,"B",0.72
5500,0.11,"D",NA
10000,0.3,"A",0.93
19000,0.19,"A",0.43
4000,0.33,"C",0.88
4000,0.23,"HR",0.84
10000,0.27,"A",0.66
7500,0.34,"E",0.78
7000,0.38,"C",0.67
4800,0.21,"B",0.66
5000,0.07,"B",0.51
4000,0.17,"E",0.38
25000,0.15,"C",NA
3500,0.12624,"B",NA
9000,0.26,"B",0.34
7000,0.19,"D",0.46
7000,NA,"D",0.78
3000,0.35,"C",1
10000,0.16,"A",0.96
4700,0.12,"A",0.75
15000,0.22,"C",0.1
5000,NA,"AA",0.48
11000,0.31,"B",0.14
4000,0.11,"E",1.03
15000,0.35,"A",0.83
1500,0.3,"E",0.91
15000,0.1,"B",0.5
3001,0.21,"E",NA
15500,0.11,"A",0.29
3000,0.16,"E",0.94
2500,0.43,"HR",NA
8000,0.36,"AA",0.59
8000,0.15,"D",0.51
4000,0.22,"E",0.17
6950,0.21,"B",0.49
15000,0.34,"C",0.91
7000,0.29,"D",0.97
20000,0.2,"AA",0.5
16000,0.16,"A",0.51
10000,0.32,"AA",0.6
10000,0.24,"A",0.39
7500,0.2,"E",0.93
4000,0.38,"HR",0.74
2000,0.33,"C",0.64
7000,0.11,"C",0.9
4000,1.26,"HR",0.55
9000,0.15,"C",0.74
1000,0.17,"E",0.54
10000,0.23,"A",0.51
25000,0.15,"AA",0.23
15000,0.47,"D",0.25
2500,0.42,"C",0.34
3500,0.31,"C",0.97
2100,0.51,"A",0.11
7500,0.27,"E",0.64
18000,NA,"AA",0.01
10000,0.28,"A",0.37
3000,0.38,"B",0.69
1000,NA,"AA",0.13
25000,0.17,"B",0.76
3500,0.12,"AA",0.38
11890,0.33,"B",0.28
7500,0.44,"D",0.69
3000,0.14,"A",0.73
4000,0.19,"E",0.78
7000,0.3,"B",0.75
8000,0.04,"B",0.41
7500,0.34,"E",0.82
5000,0.18,"C",0.99
3750,0.2,"A",0.24
25000,0.32,"C",0.53
20000,0.14,"A",0.97
15000,0.28,"A",0.45
5000,0.2,"D",0.31
4000,0.15,"E",NA
4000,0.18,"HR",0
5500,0.21,"D",0.86
7000,0.41,"B",0.35
12000,0.28,"A",0.57
10000,0.24,"A",0.98
4500,0.23,"D",0.88
4000,0.27,"B",0.78
20000,0.3,"A",0.06
9000,0.19,"D",0.49
7000,0.12,"C",0.99
13500,0.34,"B",0.53
10000,0.21,"C",0.58
15000,0.2,"C",0.53
16000,0.29,"B",1.1
10000,0.17,"A",0.4
1500,0.04,"D",0.8
10000,0.35,"B",0.7
2500,0.32,"B",0.34
3600,0.13,"C",0.96
4800,0.09,"C",0.55
10000,0.11,"C",NA
10000,0.33,"C",0.05
15000,0.23,"C",0.95
4000,0.47,"C",0.85
4000,NA,"E",0.14
6000,0.22,"AA",0.79
2500,0.59,"HR",0.98
15000,0.29,"B",0.86
7500,0.35,"E",0.93
20000,0.26,"B",0.75
18000,0.23,"C",0.62
6000,0.95,"C",0.85
20000,0.34,"B",0.82
1000,0.23,"D",1.34
21000,0.19,"C",0.41
15000,0.22,"B",0.51
15000,0.52,"C",0.58
14584,0.16,"C",0.51
5000,0.02,"AA",0.01
2500,0.22,"E",1.09
5000,0.07,"D",0.75
7000,0.13,"C",0.22
25000,0.18,"B",0.27
4000,0.13,"B",0.85
4000,NA,"HR",0.36
3035,0.13,"HR",NA
5000,0.7,"E",0.9
3000,0.08,"E",0.82
5000,NA,"D",0.57
5000,0.1,"D",NA
5000,0.05,"C",NA
2700,0.06,"C",0.74
1000,0.32,"HR",0
19000,0.17,"A",0.87
10000,0.28,"B",0.37
13000,0.21,"A",0.33
8000,NA,"B",0.38
4000,0.2,"HR",0.97
12000,0.2,"A",0.23
4500,0.13,"D",0.81
13000,0.2,"A",0.9
6500,0.51,"D",0.75
2500,0.19,"B",0.34
15000,0.06,"AA",0.01
8000,0.02,"D",0
5000,0.1,"A",0.3
5000,0.04,"A",0.05
4000,0.24,"B",0.16
4200,NA,"A",0.61
2000,0.34,"D",0.43
5000,0.15,"A",NA
10000,NA,"B",0.75
5000,0.16,"C",0.87
5000,0.14,"C",0.86
3000,0.03,"D",0.59
15000,0.32,"D",0.64
10000,0.2,"D",0.98
5000,0.69,"AA",0.42
1500,0.31,"HR",0.89
10000,0.26,"",0.16
8500,0.23,"C",0.42
2000,0.26,"B",0.6
2000,0.23,"B",0.75
10000,0.15,"A",0.19
5000,0.27,"B",0.69
3500,0.4,"E",0.69
1700,0.03,"HR",NA
3500,0.12,"C",0.88
6290,0.1,"E",0.16
2500,0.56,"E",0.97
5000,0.2,"C",0.72
15000,NA,"C",0.93
7200,0.15,"B",0.34
15000,0.33,"C",0.56
3000,0.13,"HR",0.02
4000,NA,"A",0.25
21500,0.3,"C",0
3000,0.04,"AA",NA
13000,0.23,"B",0.69
4000,0.4,"D",0.77
3000,0.06,"B",0.52
18000,0.29,"C",0.66
4000,0.32,"D",0.73
15000,0.34,"C",0.88
10000,0.25,"D",0.91
20000,0.04,"AA",0.01
2800,0.03,"D",0
10000,0.31,"E",0.9
12000,0.25,"B",0.33
7500,0.75,"D",0.58
4000,0.47,"D",0.64
10000,0.21,"B",0.75
3200,NA,"D",0.69
14400,0.22,"A",0.87
7500,0.22,"B",0.57
4000,0.24,"HR",0
10000,NA,"D",0.22
5000,0.03,"B",0.78
2100,0.29,"HR",0.85
4000,0.46,"B",0.91
7000,0.13,"A",0.13
4000,0.33,"HR",0.95
7500,0.35,"E",0.45
7500,0.4,"C",0.52
6200,0.15,"A",0.64
1000,0.17,"C",NA
2100,NA,"E",0.99
1500,10.01,"AA",0.04
9000,0.3,"A",0.85
2000,0.15,"A",0.78
4000,NA,"HR",0.65
3000,0.48,"E",0.89
4000,0.18,"C",0.48
2551,0.28,"D",0.77
8000,0.27,"C",0.47
4000,0.08,"C",0.57
1000,0.07429,"AA",NA
4000,0.26,"E",0.64
10850,0.21,"D",0.3
25000,0.33,"A",0.67
2550,0.46,"D",0.86
3500,0.1,"C",NA
13000,0.21,"A",0.38
20000,0.2,"C",0.85
15000,0.14,"C",0.54
10000,0.07,"AA",0.02
10000,0.19,"B",0.76
15000,0.58,"D",0.29
23500,0.3,"A",0.69
7000,0.31,"E",0.98
23547,0.22,"A",0
3500,0.02,"D",0
4000,0.43,"E",0.76
6000,0.09,"D",0.92
4000,0.12,"D",0.98
15000,0.16,"B",0.46
6001,0.15,"HR",1.2
5000,0.13,"AA",0.31
4000,0.43,"E",0.88
2500,NA,"AA",0.01
15000,0.23,"D",0.48
15000,0.35,"C",0.75
25000,0.11,"A",0.59
4000,0.15,"E",0.96
20500,0.26,"A",0.45
15000,0.39,"C",0.3
3000,0.15,"D",0.21
14000,0.27,"A",0.32
3500,0.08,"B",0.73
7000,0.14,"D",0.38
3000,0.36,"D",0.96
4000,0.36,"C",0.23
15000,0.32,"C",0.82
20000,0.11,"A",0.6
5000,0.2,"D",0.47
7500,0.54,"D",0.87
6800,0.36,"A",NA
2000,10.01,"HR",0.47
2500,1.89,"E",0.57
2500,0.12,"B",0.2
15000,0.28,"A",0.46
10000,0.35,"C",0.66
1500,0.28,"E",0.37
10000,0.29,"B",0.62
30000,0.22,"A",0.34
4000,NA,"HR",0.83
20000,0.13,"B",0.25
10000,0.27,"A",0.91
35000,0.08,"B",0.34
15000,0.21,"A",0.69
4000,0.44,"E",0.7
10000,0.25,"A",1
15000,0.5,"C",0.75
11000,0.18,"AA",0.17
15000,0.47,"C",0.83
1000,0.12,"D",0
15000,0.14,"B",0.33
15000,0.2,"C",0.12
10000,0.42,"C",0.48
6500,0.16,"D",0.88
30000,0.3,"A",0.91
3400,0.05,"A",0.36
15000,0.25,"B",0.96
20000,0.49,"B",0.84
15000,0.15,"D",0.91
1500,0.02253,"HR",NA
18500,0.37,"B",0.5
2500,0.24,"C",0.82
15000,0.47,"C",0.51
10000,0.1,"AA",0.3
9000,0.23,"C",0.84
15000,0.4,"A",0.66
6000,0.09,"A",0.03
21000,0.22,"B",0.43
15000,0.14,"C",NA
4000,0.08,"E",0
15000,NA,"C",0.36
6000,0.19,"C",0.08
25000,0.12,"B",0.71
4000,0.37,"HR",0.81
4400,NA,"E",0.87
7200,0.26,"C",0.93
20000,0.2,"B",0.04
4000,0.4,"C",0.49
22500,0.32,"A",0.42
10000,0.38,"C",0.71
7000,0.13,"D",0
15000,0.38,"AA",0.25
25000,0.15,"C",0.87
4000,0.2,"HR",0.96
7500,0.14,"D",0.83
3500,NA,"HR",0.62
15000,NA,"C",0.8
7000,0.17,"A",0.24
16000,0.1,"C",0.08
3000,0.28,"HR",0.97
10000,0.26,"B",0.77
2300,0.2,"D",0.34
35000,0.26,"B",0.33
2500,NA,"D",0.49
10000,0.21,"B",0.91
15000,0.25,"A",0.54
8000,0.1,"B",0.38
4000,0.35,"B",0.98
2600,0.32,"A",0.37
1000,0.09,"A",0
15000,0.18,"A",0.37
15000,0.24,"B",0.16
4000,0.24,"B",0.01
6001,0.02727,"AA",NA
5000,0.19,"B",0.92
15000,NA,"C",0.82
15000,0.13,"B",0.38
9500,0.07,"AA",0.13
1000,0.29,"AA",0.48
4000,0.63,"E",0.89
5000,0.19,"C",0.49
7000,0.27,"HR",NA
15000,0.34,"C",0.78
10000,0.21,"A",0.65
4000,0.24,"HR",0.44
15000,0.28,"B",0.22
10000,0.2,"C",0.57
20000,0.25,"C",0.89
2550,0.3,"HR",0.74
4000,0.24,"HR",0
20000,0.25,"B",0.96
3500,0.45,"B",0.53
4000,0.22,"HR",0.76
10000,0.5,"B",0.27
6001,0.16,"C",1.02
14000,0.16,"AA",0.43
1225,0.16,"HR",NA
4000,0.22,"A",0.42
4000,0.18,"A",0.75
4500,0.27,"C",0.95
2348,NA,"",0.2
6000,0.21,"A",0.35
2000,0.4,"C",0.3
1000,NA,"E",0
17500,NA,"AA",0.1
3000,0.1,"HR",NA
10000,0.22,"C",0.16
4000,0.27,"D",0.22
20000,0.28,"B",0.43
4000,0.1,"E",0.35
10000,0.35,"B",0.57
4000,NA,"HR",0.12
9000,0.1,"C",0.8
25000,0.26,"A",0.51
2000,0.03,"C",0
15000,0.33,"B",0.52
14000,0.25,"C",0.83
4000,0.16,"AA",0.16
7400,0.21,"C",0.86
6000,0.11,"A",0.36
4000,0.39,"C",0.39
7000,0.13,"D",0.79
4000,0.41,"D",0.91
4000,0.43,"D",0.75
5000,0.17,"A",0.12
10000,0.12,"C",0.31
6000,0.29,"AA",0.08
3500,NA,"A",0.9
4000,0.37,"E",0.82
10000,0.17,"A",0.04
3500,0.03,"B",0.45
4950,0.26,"D",0.27
10170,0.06,"A",0
10000,0.37,"C",NA
11000,0.51,"C",0.94
1500,0.04,"HR",0.98
11500,0.14,"B",0.57
3500,0.3,"B",0.11
15000,0.25,"B",0.2
3000,0.05,"B",0.25
15000,0.41,"B",0.28
24000,0.27,"C",0.39
7000,0.35,"A",0.62
1500,0.09,"HR",0.98
2500,0.27,"C",0.97
15000,0.23,"A",0.88
19000,0.21,"AA",0.45
3500,NA,"AA",0.23
6000,0.25,"A",0.6
15500,0.11,"B",0.58
10000,0.38,"A",0.82
8500,0.13,"AA",0.01
10000,0.13,"AA",0.61
5000,0.21,"A",0.98
23000,0.25,"C",0.7
2500,0.14,"D",0.35
1800,0.24,"C",0
4500,0.35,"D",0.88
10000,0.24,"C",0.4
5000,0.21,"A",0.17
3000,0.05,"D",0.87
26000,0.13,"B",0.92
10000,0.27,"D",0.48
10000,0.42,"E",0.74
3151,NA,"HR",0.03
1000,0.2,"E",0.86
3000,0.3,"D",0.74
15000,NA,"D",0.87
10000,0.2,"C",0.84
4000,NA,"NC",NA
10000,0.36,"B",0.29
2500,0.17,"B",0.41
1000,0.6,"E",NA
16000,0.24,"B",0.92
12000,0.1,"A",0.55
5000,0.13,"HR",0.72
4000,0.62,"HR",0.37
2500,NA,"D",NA
9500,0.39,"D",0.82
2000,NA,"D",0.91
5110,0.17,"B",0.75
13000,0.08,"B",0.54
5000,0.33,"A",0.54
3000,0.22,"C",0.53
3000,0.07,"A",0.17
7000,0.35,"B",0.43
4000,0.35,"E",0.95
10000,0.43,"A",0.03
19000,0.31,"A",NA
3000,0.07,"AA",0.02
6000,0.11,"B",0.85
8500,0.86,"B",NA
25000,0.22,"B",0.84
2000,NA,"D",0.42
3000,0.6,"D",0.72
5000,0.11,"C",NA
4500,0.24,"A",0.87
6000,0.3,"D",0.78
5000,0.08,"B",0.32
25000,0.24,"B",0.15
10000,0.33,"D",0.59
10000,0.49,"B",0.71
4600,0.36,"B",0
15000,0.2,"D",0.84
8000,0.39,"B",0.14
4900,0.11,"AA",0.05
20000,0.16,"AA",0.4
15000,0.36,"C",0.57
4000,NA,"D",0.98
2500,0.22,"HR",0.56
10000,0.2,"C",0.02
1900,0.14,"E",NA
20000,0.19,"A",0.7
12000,0.32,"C",0.7
1000,0.18,"C",0.04
25000,0.18,"B",0.44
10000,NA,"AA",0.04
1700,0.07,"HR",NA
2500,0.17,"E",0.77
25000,0.3,"C",0.95
10000,NA,"A",0.53
15000,0.23,"B",0.01
10000,0.08,"A",0.74
15000,0.11,"D",0.65
1000,0.24,"AA",0.21
13800,0.11,"A",0.14
2500,0.19,"C",0.78
25000,0.18,"B",NA
1800,0.09,"HR",NA
15000,0.48,"A",0.13
12000,0.27,"D",0.67
4000,0.3,"B",0.76
3000,0.2,"C",0.61
10000,0.21,"C",0.56
7000,0.17,"C",0.85
7000,0.2,"B",0
6000,0.15,"AA",0.02
7500,0.32,"C",0.63
4000,0.09,"HR",0.6
13000,0.33,"C",0.71
2690,0.02,"AA",0.08
10000,0.41,"C",0.38
9500,0.21,"B",0.77
1000,0.48,"B",0.69
4000,0.38,"D",0.84
7000,0.31,"E",0.99
17000,0.26,"A",0.83
3100,0.27,"B",0.06
3000,0.18,"HR",0
4000,NA,"C",0.94
15000,0.3,"B",0.8
12500,0.05,"A",0.24
13000,0.33,"A",0.2
3000,NA,"E",0.31
4000,0.2,"HR",0.67
1000,0.14,"D",0.61
6000,NA,"E",0.63
15000,0.38,"C",0.75
10000,0.16,"C",0.92
15000,0.33,"B",0.89
2000,0.18,"B",0.66
4000,0.16,"D",0
7500,0.31,"A",0.8
24000,0.56,"AA",NA
15000,0.22,"AA",0.79
25000,0.12,"B",0.62
15000,0.39,"A",0.62
20000,0.17,"B",0.83
2200,0.37,"D",0.41
3600,0.14,"B",0.9
4000,NA,"HR",0.62
10000,0.43,"D",0.47
7500,0.22,"D",1.02
7500,0.29,"E",0.99
20000,0.22,"B",0.53
10000,0.33,"B",0.36
23695,0.16,"A",0.13
5000,0.24,"C",0.99
15000,0.16,"C",0.25
7900,0.06,"AA",0.08
5000,0.08,"C",NA
4000,0.42,"D",0.65
4000,0.23,"B",0.51
15000,0.23,"A",0.74
4000,0.4,"HR",0
5000,0.15,"D",0.69
4000,0.3,"E",0.7
1500,0.03,"NC",NA
5000,0.04,"AA",0.03
10000,0.32,"A",0.21
5500,0.09,"B",0.11
1500,0.16,"AA",0.1
8000,NA,"A",NA
2000,0.36,"D",NA
14500,0.36,"A",0.29
9500,0.23,"E",NA
4000,0.18,"HR",0.17
2000,0.06,"B",0
7500,0.13,"B",0.19
10000,0.33,"A",0.92
13000,0.27,"C",0.84
13000,0.23,"C",0.92
3000,0.43,"A",0.25
5404,NA,"E",0.01
3000,0.22,"E",0.48
5000,0.28,"E",0.97
3050,0.06,"HR",NA
10000,0.36,"C",0.76
7400,0.14,"A",0.61
20000,0.19,"B",0.56
1000,0,"AA",0
25000,0.19,"A",0.41
15000,0.18,"AA",0.21
3500,0.16,"C",0.9
3000,0.2,"D",0.87
10000,0.34,"C",0.72
6000,0.16,"B",0.6
4500,0.05,"D",0.36
13000,0.11,"B",0.17
2500,0.17,"D",NA
7000,0.24,"C",0.69
5000,0.24,"B",0.38
8000,0.12,"A",0.27
1000,NA,"C",NA
4000,0.15,"E",0.57
10000,0.26,"A",0.37
4000,NA,"HR",0.46
15000,0.17,"D",0.93
8000,0.25,"C",0.81
7500,NA,"C",0.84
1000,0.37,"A",0.44
15000,0.33,"C",0.22
1000,0.09,"AA",NA
3000,0.04,"C",0
4000,0.19,"HR",0.7
4000,0.18,"HR",0.94
4500,0.14,"C",0.49
14000,NA,"A",0.67
3000,0.16,"A",0.08
15000,0.25,"B",0.92
8500,0.38,"D",0.91
18500,0.15,"A",0.66
13000,0.28,"B",0.62
15000,0.26,"B",0.53
10000,0.33,"D",0.51
13000,0.22,"D",0.99
4000,0.06,"D",0.15
4000,0.22,"HR",0.77
2000,NA,"E",0.7
2000,0.65,"HR",0.99
13500,0.19,"B",NA
15000,0.28,"B",0.45
25000,0.34,"AA",0.11
15000,0.15,"D",0.91
11500,0.12,"C",0.96
8500,0.17,"B",0.67
4000,0.35,"E",0.88
6500,0.25,"D",0.79
15000,0.42,"C",0.72
5000,0.09,"AA",0.12
4000,0.28,"E",0.86
15000,0.34,"B",0.51
2500,0.22,"B",0.98
1000,NA,"E",0.49
15000,0.24,"C",0.5
17500,0.21,"B",0.68
4981,0.28,"B",0.39
2000,0.25,"HR",0.87
15000,NA,"A",0.16
4000,0.34,"HR",0.68
4000,0.33,"HR",0.98
3000,NA,"A",0.71
10000,0.23,"D",0.98
